MOT_LISTE	VED	LEM	TL_ORDRE	BALISE	AVANT	APRES
hontagier	AHONTAGIER	ahontagier	1	LEMME	hontagier	ahontagier
herbergëor	AUBERGEUR	aubergeur	1	LEMME	herbergëor	herbergor
inquinacïon	COINQUINATION	coinquination	1	LEMME	inquinacïon	cinquinacon
coutelet	COTTELET	cottelet	1	LEMME	coutelet	cotelet
coupe	COUPE	coupe3	1	SLEMME	coupe	coupe2
cortilliere	COURTILLIERE	courtillire1	1	SLEMME	cortilliere	cortilliere1
cortilliere	COURTILLIERE	courtillire2	1	LEMME	cortilliere	cortilliere2
coutivëure	COUTIVURE	coutivure	1	LEMME	coutivëure	coutivure
cretine	CRETINE	cretine	1	LEMME	cretine	cretine1
coutivëure	CULTIVURE	cultivure	1	LEMME	coutivëure	coutivure
dea	DE	de	1	LEMME	dea	de
escharjage	DESCHARGEAGE	dchargeage	1	LEMME	escharjage	descharjage
escostengier	DESCOUTANGIER	dcoutanger	1	LEMME	escostengier	decostengier
desfaçoner	DESFAONNER	dfaonner	1	LEMME	desfaçoner	desfaoner
desfendre	DEFENDRE	dfendre1	1	LEMME	desfendre	defendre
desfendre	DEFENDRE	dfendre2	1	LEMME	desfendre	desfendre2
esgarder	DEGRADER	dgarder	1	LEMME	esgarder	desgarder
despendëor	DESPENDEUR	dpendeur1	1	LEMME	despendëor1	despendor2
despendëor	DESPENDEUR	dpendeur2	1	LEMME	despendëor1	despendor1
depert	DEPERTE	dperte	1	LEMME	depert	deperte
